Name,Phone,Email,All Emails,WhatsApp,All WhatsApp,Website,Has Website,Address,Rating,Reviews,Category,Business Hours,Instagram,Facebook,Twitter,LinkedIn,TikTok,YouTube,Has Chatbot,Chatbot Type,Has Google Analytics,Has Meta Pixel,CMS Platform,Is Automated,Quality Score,Google Maps URL
Crispino Café,+92 304 5399007,,,+923045399007,+923045399007,,No,"
G-10 Markaz G 10 Markaz G-10, Islamabad, 44000, Pakistan",4.2,0,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Crispino+Caf%C3%A9/data=!4m7!3m6!1s0x38dfbff86283e96f:0xd0372786be09c5ab!8m2!3d33.6759968!4d73.0158029!16s%2Fg%2F11qptyzrbp!19sChIJb-mDYvi_3zgRq8UJvoYnN9A?authuser=0&hl=en&rclk=1
KAF Coffee,+92 310 0577770,,,,,https://instagram.com/kaf_pk?utm_medium=copy_link,Yes,"
Block 7, Block, Roomy Signature Hotel, Super Market, 7 Agha Khan Rd, F-6 Markaz Islamabad, 44000, Pakistan",4.6,0,Coffee shop,,https://instagram.com/kaf_pk?utm_medium=copy_link,,,,,,No,,Yes,No,,No,medium,https://www.google.com/maps/place/KAF+Coffee/data=!4m7!3m6!1s0x38dfbf9500b9f139:0x68a2c891d0625a68!8m2!3d33.7287469!4d73.0753781!16s%2Fg%2F11p5ksfxq4!19sChIJOfG5AJW_3zgRaFpi0JHIomg?authuser=0&hl=en&rclk=1
Quetta Tea & Tea,+92 51 2112777,,,,,https://facebook.com/QuettaTeaInTeasOFFICIAL/,Yes,"
M2W7+384، margalla plaza, ground floor, Sumbal Rd, Islamabad, Pakistan",4.3,0,Cafe,,,https://facebook.com/QuettaTeaInTeasOFFICIAL/,,,,,No,,Yes,No,,No,medium,https://www.google.com/maps/place/Quetta+Tea+%26+Tea/data=!4m7!3m6!1s0x38dfbe6b2d8bcabf:0x2cd0f711a35016be!8m2!3d33.695145!4d73.0133966!16s%2Fg%2F11gfdvnt0m!19sChIJv8qLLWu-3zgRvhZQoxH30Cw?authuser=0&hl=en&rclk=1
,,,,,,,No,,0.0,0,,,,,,,,,No,,No,No,,No,low,https://www.google.com/maps/place/D%27+Vibe/data=!4m7!3m6!1s0x38dfbf20dfb03ec7:0x32459893d5a6b0d1!8m2!3d33.6907827!4d72.9990967!16s%2Fg%2F11xmfrt8mn!19sChIJxz6w3yC_3zgR0bCm1ZOYRTI?authuser=0&hl=en&rclk=1
Aurum Cafe,+92 51 4718877,,,+92514718877,+92514718877,,No,"
Ground floor, MXPQ+44R Crown plaza, PTCL exchange, Service Rd N, F-11 Markaz F 11 Markaz F-11, Islamabad, Pakistan",4.3,3,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Aurum+Cafe/data=!4m7!3m6!1s0x38dfbdbaa55f8fa5:0xa09b05885d41d4a2!8m2!3d33.6855235!4d72.9879705!16s%2Fg%2F11sqd56f7_!19sChIJpY9fpbq93zgRotRBXYgFm6A?authuser=0&hl=en&rclk=1
Flow Specialty Coffee,+92 51 2604400,,,,,http://flowspecialtycoffee.com/,Yes,"
Shop 53, Ground Floor, Beverly Centre, F 6/1 F-6, Islamabad, 44000, Pakistan",4.4,0,Coffee shop,,,,,,,,No,,No,No,godaddy,No,low,https://www.google.com/maps/place/Flow+Specialty+Coffee/data=!4m7!3m6!1s0x38dfbfa363482c59:0x5d6057fde273f9c7!8m2!3d33.7202794!4d73.0735351!16s%2Fg%2F11s7y2vzmt!19sChIJWSxIY6O_3zgRx_lz4v1XYF0?authuser=0&hl=en&rclk=1
L’espresso,+92 51 4718154,,,+92514718154,+92514718154,,No,"
Shop#G-6, Liberty mall, F-11 Markaz F 11 Markaz F-11, Islamabad, 44000, Pakistan",4.6,0,Coffee shop,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/L%E2%80%99espresso/data=!4m7!3m6!1s0x38dfbd143c564807:0x3d3f657d0eca3ef2!8m2!3d33.6839688!4d72.9862926!16s%2Fg%2F11txnp7vbg!19sChIJB0hWPBS93zgR8j7KDn1lPz0?authuser=0&hl=en&rclk=1
The Dropouts Lounge,+92 300 1520270,,,+923001520270,+923001520270,,No,"
8 Main Double Road 2nd Floor Emaan Arcade, PMCHS E 11/2 E-11, Islamabad, 44000, Pakistan",4.7,0,Cafe,,,,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/The+Dropouts+Lounge/data=!4m7!3m6!1s0x38dfbd95934826bf:0x1bdae3d9e9a82fd7!8m2!3d33.6961484!4d72.9679821!16s%2Fg%2F11mnh4l24m!19sChIJvyZIk5W93zgR1y-o6dnj2hs?authuser=0&hl=en&rclk=1
The Jungle Lounge,+92 336 6082353,thejungleloung20@gmail.com,thejungleloung20@gmail.com,,,https://www.facebook.com/TheJungleLounge20,Yes,"
Shop 1,2 Imperial square heights. Islamabad Sector E 11/2, Islamabad, 44000, Pakistan",4.5,0,Cafe,,,https://www.facebook.com/TheJungleLounge20,,,,,No,,Yes,No,,No,high,https://www.google.com/maps/place/The+Jungle+Lounge/data=!4m7!3m6!1s0x38dfbd62d7fb1c1f:0x6bcda012df116992!8m2!3d33.6998374!4d72.9727353!16s%2Fg%2F11hf7_2k_g!19sChIJHxz712K93zgRkmkR3xKgzWs?authuser=0&hl=en&rclk=1
Loafology Bakery & Cafe,+92 51 2804240,,,,,https://www.loafology.com/,Yes,"
108-W Jinnah Ave, Area G 7/2 Blue، Islamabad, 44000, Pakistan",4.3,18,Bakery,,,https://www.facebook.com/media/set/?vanity=Loafology&set=a.322591420111010,,,,,No,,No,No,,No,medium,https://www.google.com/maps/place/Loafology+Bakery+%26+Cafe/data=!4m7!3m6!1s0x38dfbfbc99205bb1:0x99552e0569a15210!8m2!3d33.7106518!4d73.0585757!16s%2Fg%2F11c32gt5l8!19sChIJsVsgmby_3zgREFKhaQUuVZk?authuser=0&hl=en&rclk=1
